-0.778,0.32
-0.777,0.3
-0.776,0.32
-0.775,0.32
-0.774,0.32
-0.773,0.34
-0.772,0.32
-0.771,0.32
-0.77,0.32
-0.769,0.32
-0.768,0.34
-0.767,0.32
-0.766,0.34
-0.765,0.34
-0.764,0.32
-0.763,0.34
-0.762,0.34
-0.761,0.32
-0.76,0.34
-0.759,0.34
-0.758,0.34
-0.757,0.32
-0.756,0.34
-0.755,0.34
-0.754,0.34
-0.753,0.34
-0.752,0.34
-0.751,0.34
-0.75,0.36
-0.749,0.34
-0.748,0.36
-0.747,0.34
-0.746,0.34
-0.745,0.36
-0.744,0.34
-0.743,0.36
-0.742,0.36
-0.741,0.34
-0.74,0.36
-0.739,0.36
-0.738,0.36
-0.737,0.34
-0.736,0.36
-0.735,0.36
-0.734,0.36
-0.733,0.36
-0.732,0.36
-0.731,0.36
-0.73,0.36
-0.729,0.36
-0.728,0.36
-0.727,0.36
-0.726,0.36
-0.725,0.36
-0.724,0.38
-0.723,0.38
-0.722,0.38
-0.721,0.38
-0.72,0.38
-0.719,0.38
-0.718,0.38
-0.717,0.38
-0.716,0.38
-0.715,0.4
-0.714,0.36
-0.713,0.38
-0.712,0.38
-0.711,0.38
-0.71,0.38
-0.709,0.38
-0.708,0.38
-0.707,0.38
-0.706,0.38
-0.705,0.38
-0.704,0.38
-0.703,0.38
-0.702,0.38
-0.701,0.38
-0.7,0.38
-0.699,0.38
-0.698,0.38
-0.697,0.4
-0.696,0.38
-0.695,0.4
-0.694,0.4
-0.693,0.42
-0.692,0.4
-0.691,0.4
-0.69,0.4
-0.689,0.4
-0.688,0.4
-0.687,0.4
-0.686,0.42
-0.685,0.42
-0.684,0.4
-0.683,0.42
-0.682,0.42
-0.681,0.4
-0.68,0.4
-0.679,0.42
-0.678,0.4
-0.677,0.4
-0.676,0.42
-0.675,0.4
-0.674,0.42
-0.673,0.42
-0.672,0.4
-0.671,0.4
-0.67,0.42
-0.669,0.42
-0.668,0.42
-0.667,0.42
-0.666,0.44
-0.665,0.42
-0.664,0.44
-0.663,0.42
-0.662,0.42
-0.661,0.44
-0.66,0.42
-0.659,0.42
-0.658,0.44
-0.657,0.44
-0.656,0.44
-0.655,0.44
-0.654,0.44
-0.653,0.42
-0.652,0.44
-0.651,0.44
-0.65,0.42
-0.649,0.44
-0.648,0.44
-0.647,0.44
-0.646,0.44
-0.645,0.46
-0.644,0.44
-0.643,0.44
-0.642,0.44
-0.641,0.46
-0.64,0.44
-0.639,0.44
-0.638,0.46
-0.637,0.46
-0.636,0.44
-0.635,0.44
-0.634,0.46
-0.633,0.46
-0.632,0.44
-0.631,0.44
-0.63,0.44
-0.629,0.46
-0.628,0.44
-0.627,0.46
-0.626,0.46
-0.625,0.46
-0.624,0.48
-0.623,0.46
-0.622,0.46
-0.621,0.46
-0.62,0.46
-0.619,0.46
-0.618,0.46
-0.617,0.46
-0.616,0.46
-0.615,0.46
-0.614,0.46
-0.613,0.46
-0.612,0.46
-0.611,0.48
-0.61,0.5
-0.609,0.48
-0.608,0.46
-0.607,0.48
-0.606,0.48
-0.605,0.48
-0.604,0.48
-0.603,0.48
-0.602,0.48
-0.601,0.48
-0.6,0.5
-0.599,0.48
-0.598,0.48
-0.597,0.48
-0.596,0.48
-0.595,0.5
-0.594,0.48
-0.593,0.5
-0.592,0.48
-0.591,0.5
-0.59,0.48
-0.589,0.48
-0.588,0.5
-0.587,0.5
-0.586,0.5
-0.585,0.5
-0.584,0.5
-0.583,0.5
-0.582,0.5
-0.581,0.5
-0.58,0.52
-0.579,0.48
-0.578,0.5
-0.577,0.5
-0.576,0.5
-0.575,0.5
-0.574,0.52
-0.573,0.5
-0.572,0.5
-0.571,0.5
-0.57,0.5
-0.569,0.5
-0.568,0.52
-0.567,0.52
-0.566,0.52
-0.565,0.5
-0.564,0.52
-0.563,0.5
-0.562,0.52
-0.561,0.54
-0.56,0.5
-0.559,0.52
-0.558,0.5
-0.557,0.52
-0.556,0.54
-0.555,0.5
-0.554,0.52
-0.553,0.52
-0.552,0.52
-0.551,0.52
-0.55,0.52
-0.549,0.54
-0.548,0.54
-0.547,0.52
-0.546,0.54
-0.545,0.54
-0.544,0.54
-0.543,0.52
-0.542,0.54
-0.541,0.52
-0.54,0.52
-0.539,0.54
-0.538,0.54
-0.537,0.54
-0.536,0.56
-0.535,0.56
-0.534,0.54
-0.533,0.54
-0.532,0.54
-0.531,0.56
-0.53,0.54
-0.529,0.54
-0.528,0.54
-0.527,0.56
-0.526,0.56
-0.525,0.54
-0.524,0.56
-0.523,0.56
-0.522,0.56
-0.521,0.56
-0.52,0.54
-0.519,0.54
-0.518,0.56
-0.517,0.56
-0.516,0.56
-0.515,0.56
-0.514,0.56
-0.513,0.54
-0.512,0.56
-0.511,0.56
-0.51,0.56
-0.509,0.58
-0.508,0.58
-0.507,0.56
-0.506,0.56
-0.505,0.56
-0.504,0.56
-0.503,0.56
-0.502,0.56
-0.501,0.58
-0.5,0.56
-0.499,0.56
-0.498,0.56
-0.497,0.56
-0.496,0.6
-0.495,0.56
-0.494,0.58
-0.493,0.58
-0.492,0.56
-0.491,0.58
-0.49,0.6
-0.489,0.6
-0.488,0.58
-0.487,0.6
-0.486,0.6
-0.485,0.6
-0.484,0.6
-0.483,0.58
-0.482,0.6
-0.481,0.6
-0.48,0.62
-0.479,0.62
-0.478,0.6
-0.477,0.6
-0.476,0.6
-0.475,0.62
-0.474,0.6
-0.473,0.6
-0.472,0.6
-0.471,0.6
-0.47,0.6
-0.469,0.62
-0.468,0.6
